Id,SalePrice
1461.0,131258.26056995496
1462.0,163659.46397803296
1463.0,180725.48761824545
1464.0,194537.5263421694
1465.0,199979.55188079394
1466.0,182278.10116664274
1467.0,180918.99602992594
1468.0,168159.52900972267
1469.0,188161.36441107525
1470.0,127241.81721529696
1471.0,200440.52880918063
1472.0,90137.24326168236
1473.0,92761.6951046745
1474.0,152375.27976549923
1475.0,125646.7117724203
1476.0,364220.91039775393
1477.0,256444.44882965006
1478.0,284038.8929986262
1479.0,277875.3206012586
1480.0,483021.8329530718
1481.0,328484.1044145303
1482.0,211045.07918998896
1483.0,176124.68634180375
1484.0,167075.38739836492
1485.0,183518.7497822269
1486.0,195576.6110265754
1487.0,326778.3416308512
1488.0,239453.58843213695
1489.0,202406.85010972936
1490.0,228474.59376251046
1491.0,190408.13904535558
1492.0,103584.94675785904
1493.0,183102.8436399156
1494.0,311278.93139291723
1495.0,303120.55946240015
1496.0,227690.62251381122
1497.0,185505.6792790929
1498.0,165124.17982522672
1499.0,169355.4693500641
1500.0,160319.8685057947
1501.0,170554.9664714039
1502.0,146444.35755522086
1503.0,306013.246035704
1504.0,240097.6361646193
1505.0,224614.10216063124
1506.0,188088.404754352
1507.0,230406.05793641187
1508.0,197792.87019626895
1509.0,161754.19369542194
1510.0,151994.0179338332
1511.0,147606.1962327254
1512.0,168994.80675818838
1513.0,145601.86226423163
1514.0,162567.73331949342
1515.0,185665.43792435914
1516.0,147802.51850988
1517.0,163910.9797407345
1518.0,141611.96900667396
1519.0,234634.850520871
1520.0,134496.787910494
1521.0,137843.3159750337
1522.0,170277.4289132889
1523.0,121608.68864293423
1524.0,124845.21134180894
1525.0,130511.81633686181
1526.0,124153.93300581448
1527.0,97685.74732021487
1528.0,136166.8052218782
1529.0,154323.22894603177
1530.0,183462.9104624818
1531.0,104021.7248947418
1532.0,105267.90089631705
1533.0,139483.27949415776
1534.0,119229.14179136344
1535.0,152672.97274611052
1536.0,115086.7483771262
1537.0,66285.13688499134
1538.0,146488.3558652389
1539.0,193090.81434992666
1540.0,93774.75795873813
1541.0,141182.15843918212
1542.0,139647.48819807245
1543.0,224561.9421186197
1544.0,80088.47298231312
1545.0,113659.66830920965
1546.0,127882.20709010291
1547.0,135030.1373746815
1548.0,144203.96247367156
1549.0,110732.79801849763
1550.0,140624.3399466545
1551.0,113944.35130707844
1552.0,128595.35836163523
1553.0,161413.27516946118
1554.0,109399.10762751265
